Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
23889,23910,0,24,24,23984344.0,25230703.5,17194648,31801672,4854674.5,8197.4,7937.0,5950,12038,1687.4,23039643.8,24292115.0,16282437,30855062,4841808.1,936502.8,933209.5,905401,1065213,28433.5,cuLaunchKernel,sembla_resolve_conflicts
23889,23909,0,24,24,23894125.6,25049131.0,16899601,28235812,3402024.9,7767.9,7752.0,6029,10385,1108.9,23495780.3,24652971.5,16493859,27839644,3402545.2,390577.5,388859.0,385995,401547,4656.0,cuLaunchKernel,sembla_reduce_claim_entities
23889,23909,0,24,24,23455085.3,24702527.5,15644857,27966879,3542642.6,9146.8,7606.5,5809,42444,7170.3,23100651.8,24350911.5,15290610,27614957,3541147.3,345286.7,344649.5,342570,354505,2923.0,cuLaunchKernel,sembla_reduce_claim_rules
23889,23909,0,24,24,23188799.3,24394198.5,14316939,27727919,3840350.1,9434.0,7876.5,6250,24747,3807.9,22477549.0,23684598.0,13614670,27012844,3838749.9,701816.4,701843.0,696019,707443,2967.4,cuLaunchKernel,sembla_build_claim_instances
23889,23910,0,24,24,23170661.7,24804646.5,15997461,31086927,5055073.9,8217.1,7541.5,5558,13822,2294.6,22742260.0,24375366.5,15576843,30664405,5053726.3,420184.6,417867.0,413451,431756,6043.3,cuLaunchKernel,sembla_reduce_claim_instances
23889,23909,0,24,24,23047412.2,24316698.0,14950232,27631022,3596587.8,10418.3,8713.5,6680,31266,5376.1,22734021.8,24010107.0,14635045,27319379,3596440.3,302972.0,304840.0,294568,309416,4897.7,cuLaunchKernel,sembla_reduce_claim_keys
23889,23910,0,24,24,22772484.1,24697219.0,7768335,28046124,5549939.6,6834.8,6239.0,5459,13161,1705.8,22589239.2,24515233.0,7582737,27863447,5551761.3,176410.1,176645.0,171748,180261,2155.8,cuLaunchKernel,sembla_transition_00000006
23889,23910,0,24,24,22765793.3,23816001.5,11553230,31781392,6442320.0,71000.2,10681.0,5648,411738,106109.9,22516835.0,23635370.0,11370093,31573014,6422231.7,177958.1,168404.5,165764,291624,32755.8,cuLaunchKernel,sembla_transition_00000009
23889,23910,0,24,24,22658074.3,24271807.0,15322796,30623278,5039521.3,9540.8,7807.0,5919,42164,7137.3,22238731.7,23856118.5,14897874,30200287,5037933.2,409801.8,408427.5,403979,420908,4746.5,cuLaunchKernel,sembla_reduce_claim_entities
23889,23909,0,24,24,22609146.9,23687098.5,13337757,28028806,4005742.1,7940.8,7286.5,6049,14282,2004.9,22357806.3,23436707.0,13087157,27780777,4006890.5,243399.9,242998.0,236359,253095,3103.7,cuLaunchKernel,sembla_init_conflict_winners
