year,state,sex,age,persons
2010,tas,female,47,3724
2010,tas,female,48,3830
2010,tas,female,49,4000
2010,tas,female,50,3871
2010,tas,female,51,3766
2010,tas,female,52,3659
2010,tas,female,53,3671
2010,tas,female,54,3598
2010,tas,female,55,3517
2010,tas,female,56,3550
2010,tas,female,57,3456
2010,tas,female,58,3336
2010,tas,female,59,3331
2010,tas,female,60,3288
2010,tas,female,61,3211
2010,tas,female,62,3223
2010,tas,female,63,3398
2010,tas,female,64,2866
2010,tas,female,65,2779
2010,tas,female,66,2629
2010,tas,female,67,2382
2010,tas,female,68,2348
2010,tas,female,69,2226
2010,tas,female,70,2094
2010,tas,female,71,1972
2010,tas,female,72,1950
2010,tas,female,73,1850
2010,tas,female,74,1762
2010,tas,female,75,1624
