year,state,sex,age_band,deaths
2012,tas,female,100+,23
2012,tas,female,15-19,2
2012,tas,female,20-24,8
2012,tas,female,25-29,2
2012,tas,female,30-34,6
2012,tas,female,35-39,11
2012,tas,female,40-44,23
2012,tas,female,45-49,35
2012,tas,female,5-9,3
2012,tas,female,50-54,49
2012,tas,female,55-59,68
2012,tas,female,60-64,86
2012,tas,female,65-69,138
2012,tas,female,70-74,163
2012,tas,female,75-79,233
2012,tas,female,80-84,386
2012,tas,female,85-89,451
2012,tas,female,90-94,385
2012,tas,female,95-99,145
2012,tas,female,not_stated,0
2012,tas,male,0-4,16
2012,tas,male,10-14,1
2012,tas,male,100+,8
2012,tas,male,15-19,6
2012,tas,male,20-24,14
2012,tas,male,25-29,14
2012,tas,male,30-34,10
2012,tas,male,35-39,27
2012,tas,male,40-44,34
2012,tas,male,45-49,43
2012,tas,male,5-9,0
2012,tas,male,50-54,68
2012,tas,male,55-59,94
2012,tas,male,60-64,146
2012,tas,male,65-69,210
2012,tas,male,70-74,234
2012,tas,male,75-79,300
2012,tas,male,80-84,356
2012,tas,male,85-89,381
2012,tas,male,90-94,212
2012,tas,male,95-99,55
2012,tas,male,not_stated,3
2012,vic,female,0-4,112
2012,vic,female,10-14,12
2012,vic,female,100+,314
2012,vic,female,15-19,51
2012,vic,female,20-24,37
2012,vic,female,25-29,44
2012,vic,female,30-34,55
2012,vic,female,35-39,107
2012,vic,female,40-44,170
2012,vic,female,45-49,233
2012,vic,female,5-9,7
2012,vic,female,50-54,350
2012,vic,female,55-59,495
2012,vic,female,60-64,636
2012,vic,female,65-69,887
2012,vic,female,70-74,1110
2012,vic,female,75-79,1711
