year,state,sex,age_band,rate_per_1000,status
2011,wa,male,95-99,319.8,published
2012,act,female,0-4,1.0,published
2012,act,female,10-14,0.1,published
2012,act,female,100+,347.8,published
2012,act,female,15-19,0.3,published
2012,act,female,20-24,0.1,published
2012,act,female,25-29,0.1,published
2012,act,female,30-34,0.1,published
2012,act,female,35-39,0.1,published
2012,act,female,40-44,0.9,published
2012,act,female,45-49,0.6,published
2012,act,female,5-9,0.1,published
2012,act,female,50-54,1.8,published
2012,act,female,55-59,2.6,published
2012,act,female,60-64,3.2,published
2012,act,female,65-69,6.1,published
2012,act,female,70-74,9.2,published
2012,act,female,75-79,18.4,published
2012,act,female,80-84,44.5,published
2012,act,female,85-89,92.6,published
2012,act,female,90-94,175.2,published
2012,act,female,95-99,317.8,published
2012,act,male,0-4,0.8,published
2012,act,male,10-14,0.2,published
2012,act,male,100+,1000.0,published
2012,act,male,15-19,0.1,published
2012,act,male,20-24,0.4,published
2012,act,male,25-29,0.6,published
2012,act,male,30-34,0.3,published
2012,act,male,35-39,0.6,published
2012,act,male,40-44,0.5,published
2012,act,male,45-49,2.0,published
2012,act,male,5-9,0.0,published
2012,act,male,50-54,3.3,published
2012,act,male,55-59,3.1,published
2012,act,male,60-64,6.9,published
2012,act,male,65-69,10.5,published
2012,act,male,70-74,15.5,published
2012,act,male,75-79,36.6,published
2012,act,male,80-84,57.3,published
2012,act,male,85-89,107.8,published
2012,act,male,90-94,213.6,published
2012,act,male,95-99,361.1,published
2012,nsw,female,0-4,0.6,published
2012,nsw,female,10-14,0.1,published
2012,nsw,female,100+,417.0,published
2012,nsw,female,15-19,0.2,published
2012,nsw,female,20-24,0.2,published
2012,nsw,female,25-29,0.2,published
2012,nsw,female,30-34,0.5,published
2012,nsw,female,35-39,0.5,published
2012,nsw,female,40-44,0.9,published
2012,nsw,female,45-49,1.3,published
2012,nsw,female,5-9,0.1,published
2012,nsw,female,50-54,1.9,published
2012,nsw,female,55-59,3.0,published
2012,nsw,female,60-64,4.9,published
2012,nsw,female,65-69,7.3,published
2012,nsw,female,70-74,13.1,published
2012,nsw,female,75-79,22.3,published
2012,nsw,female,80-84,43.7,published
2012,nsw,female,85-89,85.8,published
2012,nsw,female,90-94,161.2,published
2012,nsw,female,95-99,282.5,published
2012,nsw,male,0-4,0.8,published
2012,nsw,male,10-14,0.1,published
2012,nsw,male,100+,398.0,published
2012,nsw,male,15-19,0.4,published
2012,nsw,male,20-24,0.6,published
2012,nsw,male,25-29,0.6,published
2012,nsw,male,30-34,0.7,published
2012,nsw,male,35-39,1.0,published
2012,nsw,male,40-44,1.4,published
2012,nsw,male,45-49,2.2,published
2012,nsw,male,5-9,0.1,published
2012,nsw,male,50-54,3.4,published
2012,nsw,male,55-59,4.9,published
2012,nsw,male,60-64,7.6,published
2012,nsw,male,65-69,12.5,published
