beta,gamma
0.82657521963119507,0.12305942177772522
0.80262541770935059,0.10238401591777802
0.79419112205505371,0.11591774225234985
0.76858896017074585,0.1092720702290535
0.82424861192703247,0.095334634184837341
0.76579296588897705,0.11045129597187042
0.88899773359298706,0.13312080502510071
0.83418464660644531,0.11593949794769287
0.82210952043533325,0.12471967190504074
0.75916653871536255,0.096341870725154877
0.84702277183532715,0.1090199276804924
0.85127943754196167,0.12456472218036652
0.79859989881515503,0.12157867848873138
0.84629392623901367,0.10136231034994125
0.78293418884277344,0.11852478981018066
0.80879592895507812,0.12032043188810349
0.78063207864761353,0.11280494183301926
0.74900811910629272,0.080125898122787476
0.80429303646087646,0.10691084712743759
0.8564150333404541,0.10727375000715256
0.78052067756652832,0.099061965942382812
0.77104365825653076,0.10537914931774139
0.77342534065246582,0.10690398514270782
0.78205901384353638,0.11256949603557587
0.86661100387573242,0.11332684010267258
0.83006048202514648,0.095392718911170959
0.56083333492279053,0.10642711818218231
0.83057224750518799,0.11923950910568237
0.76629728078842163,0.10882008075714111
0.84939908981323242,0.13080786168575287
0.73589789867401123,0.094162590801715851
0.80805003643035889,0.091794893145561218
0.83168458938598633,0.091311678290367126
0.81667065620422363,0.10629840195178986
0.79276156425476074,0.11381757259368896
0.76914387941360474,0.10006871074438095
0.83909964561462402,0.093965940177440643
0.71597617864608765,0.087685480713844299
0.84632819890975952,0.12027261406183243
0.83195394277572632,0.093526013195514679
0.79006111621856689,0.096377968788146973
0.88275206089019775,0.13115984201431274
0.96172338724136353,0.10854924470186234
0.78972256183624268,0.098972715437412262
0.72794687747955322,0.10337261110544205
0.75827324390411377,0.10931095480918884
0.93599289655685425,0.11182793974876404
0.82560187578201294,0.097368419170379639
0.88576167821884155,0.11560879647731781
0.7941509485244751,0.11026915162801743
0.85542076826095581,0.1068866103887558
0.81144911050796509,0.10889124870300293
0.92744022607803345,0.14438094198703766
0.75469857454299927,0.096873492002487183
0.7680361270904541,0.10397590696811676
0.77364653348922729,0.10191819071769714
0.80765509605407715,0.099118143320083618
0.73778849840164185,0.091820001602172852
0.83873873949050903,0.1076975092291832
0.78593355417251587,0.11747855693101883
0.7819749116897583,0.10290943086147308
0.83345454931259155,0.10336694866418839
0.75693517923355103,0.091896817088127136
0.78615128993988037,0.11562047153711319
0.90167742967605591,0.11484243720769882
0.90449655055999756,0.10609247535467148
0.94414621591567993,0.1095074787735939
0.86899030208587646,0.10257671773433685
0.86922311782836914,0.12635737657546997
0.77985697984695435,0.099540270864963531
0.86738032102584839,0.10540687292814255
0.79288506507873535,0.1114705428481102
0.77031165361404419,0.099911324679851532
0.75161755084991455,0.090989552438259125
0.78355246782302856,0.10585274547338486
0.90218168497085571,0.12591293454170227
0.81815087795257568,0.11347717791795731
0.79253536462783813,0.1058814525604248
0.79185926914215088,0.1169736385345459
0.82173198461532593,0.11188291013240814
0.76276975870132446,0.10875394940376282
0.7635994553565979,0.10285466909408569
0.75057393312454224,0.10479576885700226
0.80181026458740234,0.10941900312900543
0.80892753601074219,0.10112326592206955
0.8361738920211792,0.11050889641046524
0.91990554332733154,0.13737194240093231
0.8359951376914978,0.089110217988491058
0.81158238649368286,0.1035524383187294
0.92745625972747803,0.12785370647907257
0.83534759283065796,0.11696895956993103
0.95220953226089478,0.10251183062791824
0.81930583715438843,0.097693309187889099
0.81218665838241577,0.082560434937477112
0.79481291770935059,0.10364092141389847
